plot_name,Acer negundo,Ailanthus altissima,Ambrosia artemisiifolia,Centaurea diffusa,Asclepias syriaca,Solidago canadensis,Erigeron canadensis,Grindelia squarrosa,Xanthium albinum,Elaeagnus angustifolia
UA04-x-100,0.1,0,0,0,0,0,0,0,0,0
UA09-NW-10,0.1,0,0,0.3,0,0,0,0,0,0
UA09-x-100,0.05,0.05,0.1,0.275,0,0,0,0,0,0
UA11-x-100,0.1,0,0,0,0,0,0,0,0,0
UA12-SE-10,0.1,0,0,0.2,0,0,0,0,0,0
UA12-x-100,0.05,0,0,0.1,0,0,0,0,0,0
UA13-SE-10,0.1,0,0,0,0,0,0,0,0,0
UA13-x-100,0.05,0,0,0,0,0,0,0,0,0
UA14-NW-10,0.2,0,0,2,0,0,0,0,0,0
UA14-SE-10,0.01,0.01,0,1,0,0,0,0,0,0
UA14-x-100,0.105,0.005,0,1.5,0,0,0,0,0,0
UA09-SE-10,0,0.1,0,0.5,0,0,0,0,0,0
UA07-NW-10,0,0,0.01,0.1,0,0,0,0,0,0
UA07-x-100,0,0,0.005,0.05,0,0,0,0,0,0
UA08-SE-10,0,0,0,0.1,0,0,0,0,0,0
UA08-x-100,0,0,0,0.05,0,0,0,0,0,0
UA10-x-100,0,0.1,0,0.1,0,0,0,0,0,0
UA17-SE-10,0,0,0,0.1,0,0,0,0,0,0
UA17-x-100,0,0,0,0.05,0,0,0,0,0,0
UA18-NW-10,0,0,0,0.5,0,0,0,0,0,0
UA18-x-100,0,0,0,0.25,0,0,0,0,0,0
UA19-SE-10,0,0,0,0.5,0,0,0,0,0,0
UA19-x-100,0,0,0,0.25,0,0,0,0,0,0
UA20-x-100,0,0,0,0.1,0,0,0,0,0,0
RZ2218-NW-10,0,0,0,0,0.25,0,0,0,0,0
RZ2218-x-100,0,0,0,0,0.125,0.1,0,0,0,0
BS19023-SE-10,0,0,0.5,0,0,0,0,0,0,0
BS19023-x-100,0,0,0.25,0.1,0,0,0.05,0,0,0
BS19005-SE-10,0,0,0,0.5,0,0,0,2,0,0
BS19005-x-100,0,0,0,0.25,0,0,0,1.25,0,0
BS19023-NW-10,0,0,0,0,0,0,0.1,0,0,0
BS19031-x-100,0,0,0,0,0,0,0.1,0,0,0
BS19048-SE-10,0,0,0,0,0,0,0.5,0,0,0
BS19048-x-100,0,0,0,0,0,0,0.25,0,0,0
SB20178-x-100,0,0,0,0,0,0,0.1,0,0,0
BS19005-NW-10,0,0,0,0,0,0,0,0.5,0,0
UA_Cr_01-SE-10,0.001,0,0,0,0,0,0,0,0,0
UA_Cr_01-x-100,5e-4,0,0,0,0,0,0,0,0,0
UA_Cr_05-NW-10,0.001,0,0,0,0,0,0,0,0,0
UA_Cr_05-SE-10,0.001,0,0,0,0,0,0,0,0,0
UA_Cr_05-x-100,0.001,0,0,0,0,0,0,0,0,0
SB20160-x-100,0.001,0,0,0.01,0,0,0,0,0.005,0
SB20083-NW-10,0,0,0,0.1,0,0,0,0,0,0
SB20083-x-100,0,0,0,0.05,0,0,0,0,0,0
SB20160-SE-10,0,0,0,0,0,0,0,0,0.01,0
SB20102-x-100,0,0,0,0,0,0,0,0,0,0.5
SB20139-x-100,0.001,0,0,0,0,0,0,0,0,0
SB20129-x-100,0,0,0,0.01,0,0,0,0,0,0
UAS51-NW-10,0,0,0.001,0,0,0,0,0,0,0
UAS51-x-100,0,0,5e-4,0,0,0,0,0,0,0
UAS01-SE-10,0,0,0,0.1,0,0,0,0,0,0
UAS01-x-100,0,0,0,0.05,0,0,0,0,0,0
UAS02-NW-10,0,0,0,0.5,0,0,0,0,0,0
UAS02-x-100,0,0,0,0.25,0,0,0,0,0,0
UAS05-NW-10,0,0,0,0.01,0,0,0,0,0,0
UAS05-x-100,0,0,0,0.005,0,0,0,0,0,0
UAS13-x-100,0,0,0,0.01,0,0,0,0,0,0
UAS17-SE-10,0,0,0,0.01,0,0,0,0,0,0
UAS17-x-100,0,0,0,0.005,0,0,0,0,0,0
UAS16-NW-10,0,0,0,0,0,0,0.01,0,0,0
UAS16-x-100,0,0,0,0,0,0,0.005,0,0,0
UAS33-x-100,0,0,0,0,0,0,0.1,0,0,0
UAS36-NW-10,0,0,0,0,0,0,0.01,0,0,0
UAS36-x-100,0,0,0,0,0,0,0.005,0,0,0
UAS40-NW-10,0,0,0,0,0,0,0.1,0,0,0
UAS40-x-100,0,0,0,0,0,0,0.05,0,0,0
UAS41-NW-10,0,0,0,0,0,0,0.5,0,0,0
UAS41-SE-10,0,0,0,0,0,0,0.3,0,0,0
UAS41-x-100,0,0,0,0,0,0,0.4,0,0,0
UAS44-x-100,0,0,0,0,0,0,0.1,0,0,0
UAS45-NW-10,0,0,0,0,0,0,0.01,0,0,0
UAS45-SE-10,0,0,0,0,0,0,8,0,0,0
UAS45-x-100,0,0,0,0,0,0,4.005,0,0,0
UAS46-SE-10,0,0,0,0,0,0,0.02,0,0,0
UAS46-x-100,0,0,0,0,0,0,0.01,0,0,0
UAS47-NW-10,0,0,0,0,0,0,0.5,0,0,0
UAS47-SE-10,0,0,0,0,0,0,2,0,0,0
UAS47-x-100,0,0,0,0,0,0,1.25,0,0,0
UAS48-NW-10,0,0,0,0,0,0,2,0,0,0
UAS48-SE-10,0,0,0,0,0,0,1,0,0,0
UAS48-x-100,0,0,0,0,0,0,1.5,0,0,0
NFD21_02-x-100,0,0,0,0,0,0,0.1,0,0,0
NFD21_03-SE-10,0,0,0,0,0,0,0.1,0,0,0
NFD21_03-x-100,0,0,0,0,0,0,0.05,0,0,0
NFD21_04-NW-10,0,0,0,0,0,0,0.5,0,0,0
NFD21_04-SE-10,0,0,0,0,0,5,15,0,0,0
NFD21_04-x-100,0,0,0,0,0,2.5,7.75,0,0,0
NFD21_59-x-100,0,0,0,0,0,0,0.1,0,0,0
NFD21_60-SE-10,0,0,0,0,0,0,0.5,0,0,0
NFD21_60-x-100,0,0,0,0,0,0,0.25,0,0,0
NFD21_37-NW-10,0,0,0,0,0,0,0.5,0,0,0
NFD21_37-SE-10,0,0,0,0,0,0,0.5,0,0,0
NFD21_37-x-100,0,0,0,0,0,0,0.5,0,0,0
NFD21_38-NW-10,0,0,0,0,0,0,1,0,0,0
NFD21_38-SE-10,0,0,0,0,0,0,0.5,0,0,0
NFD21_38-x-100,0,0,0,0,0,0,0.75,0,0,0
NFD21_40-NW-10,0,0,0,0,0,0,0.01,0,0,0
NFD21_40-SE-10,0,0,0,0,0,0,0.3,0,0,0
NFD21_40-x-100,0,0,0,0,0,0,0.155,0,0,0
NFD21_52-NW-10,0,0,0.01,0,0,0,0,0,0,0
NFD21_52-x-100,0,0,0.005,0,0,0,0,0,0,0
NFD21_45-SE-10,0,0,0,0,0,0,0,0,0,0.1
NFD21_45-x-100,0,0,0,0,0,0,0,0,0,0.05
NFD21_46-NE-10,0,0,0,0,0,0,1,0,0,0
NFD21_46-SW-10,0,0,0,0,0,0,0.1,0,0,0
NFD21_46-x-100,0,0,0,0,0,0,0.55,0,0,0
