,introduction_time,origin,naturalisation_level,naturalisation_category
Acer negundo,neophyte,NA,invasive,hemiepoecophyte
Ailanthus altissima,neophyte,As,invasive,hemiepoecophyte
Ambrosia artemisiifolia,neophyte,NA,invasive,hemiepoecophyte
Anagallis arvensis,archaeophyte,As,naturalised,epoecophyte
Anchusa officinalis,archaeophyte,Med,naturalised,epoecophyte
Artemisia absinthium,archaeophyte,IT,naturalised,epoecophyte
Carduus acanthoides,archaeophyte,Med,naturalised,epoecophyte
Centaurea diffusa,neophyte,Med-IT,invasive,hemiepoecophyte
Cichorium intybus,archaeophyte,Med-IT,naturalised,hemiepoecophyte
Digitaria ischaemum,archaeophyte,Eu,naturalised,hemiepoecophyte
Erigeron annuus,neophyte,NA,naturalised,hemiepoecophyte
Fallopia convolvulus,archaeophyte,unknown,naturalised,epoecophyte
Geranium pusillum,archaeophyte,IT,naturalised,epoecophyte
Juglans regia,neophyte,As,casual,ergasiophigophyte
Lactuca serriola,archaeophyte,Med-IT,naturalised,epoecophyte
Lathyrus tuberosus,archaeophyte,IT,naturalised,hemiepoecophyte
Lepidium campestre,archaeophyte,Med,naturalised,epoecophyte
Malus pumila,neophyte,unknown,casual,ergasiophigophyte
Nigella arvensis,archaeophyte,Med,naturalised,epoecophyte
Prunus armeniaca,neophyte,As,casual,ephemerophyte
Prunus cerasus,neophyte,Med,naturalised,ergasiophigophyte
Rapistrum perenne,neophyte,Med,naturalised,epoecophyte
Reseda lutea,archaeophyte,Med,naturalised,epoecophyte
Reseda luteola,archaeophyte,Med-IT,naturalised,epoecophyte
Setaria viridis,archaeophyte,Med-IT,naturalised,epoecophyte
Thymelaea passerina,archaeophyte,Med-IT,naturalised,epoecophyte
Vicia hirsuta,archaeophyte,Med,naturalised,epoecophyte
Vicia sativa subsp. nigra,neophyte,Med-IT,naturalised,agriophyte
Vicia tetrasperma,archaeophyte,Med,naturalised,epoecophyte
Viola arvensis,archaeophyte,Med,naturalised,epoecophyte
Asclepias syriaca,neophyte,NA,invasive,epoecophyte
Cynoglossum officinale,archaeophyte,Med,naturalised,epoecophyte
Solidago canadensis,neophyte,NA,invasive,hemiepoecophyte
Eragrostis minor,neophyte,Eu,naturalised,epoecophyte
Erigeron canadensis,neophyte,NA,invasive,hemiepoecophyte
Grindelia squarrosa,neophyte,NA,invasive,hemiepoecophyte
Portulaca oleracea,archaeophyte,IT,naturalised,epoecophyte
Sisymbrium polymorphum,neophyte,IT,casual,ephemerophyte
Tribulus terrestris,neophyte,Med,naturalised,epoecophyte
Vicia villosa,archaeophyte,Med,naturalised,hemiepoecophyte
Pastinaca sativa,neophyte,Eu-As,naturalised,colonophyte
Veronica arvensis,archaeophyte,Med-IT,naturalised,epoecophyte
Atriplex tatarica,neophyte,Med-IT,naturalised,epoecophyte
Buglossoides arvensis,archaeophyte,Med-IT,naturalised,epoecophyte
Carduus nutans,archaeophyte,Med,naturalised,epoecophyte
Consolida regalis,archaeophyte,Med-IT,naturalised,epoecophyte
Descurainia sophia,archaeophyte,IT,naturalised,epoecophyte
Galium spurium,archaeophyte,Med-IT,naturalised,epoecophyte
Lepidium draba,neophyte,Eu-Med,naturalised,epoecophyte
Sisymbrium altissimum,neophyte,Eu-As,naturalised,epoecophyte
Sisymbrium loeselii,neophyte,Med-As,naturalised,epoecophyte
Veronica triphyllos,archaeophyte,As,naturalised,epoecophyte
Xanthium albinum,neophyte,Eu,invasive,epoecophyte
Elaeagnus angustifolia,neophyte,Med,invasive,agriophyte
Amaranthus retroflexus,neophyte,NA,naturalised,epoecophyte
Eragrostis pilosa,neophyte,Med-As,naturalised,ephemerophyte
Scleranthus annuus,archaeophyte,Med,naturalised,epoecophyte
Ulmus pumila,neophyte,As,naturalised,epoecophyte
Anchusa stylosa,neophyte,As,casual,ephemerophyte
Atriplex prostrata,archaeophyte,Med-IT,naturalised,hemiepoecophyte
Capsella bursa-pastoris,archaeophyte,unknown,naturalised,hemiepoecophyte
Conium maculatum,archaeophyte,Med-IT,naturalised,epoecophyte
Erysimum repandum,archaeophyte,IT,naturalised,epoecophyte
Hordeum murinum,archaeophyte,Med-IT,naturalised,epoecophyte
Lepidium perfoliatum,neophyte,Med-IT,naturalised,epoecophyte
Matricaria chamomilla,archaeophyte,Eu,naturalised,epoecophyte
Onopordum acanthium,archaeophyte,Med-IT,naturalised,epoecophyte
Papaver dubium,archaeophyte,Med-IT,naturalised,epoecophyte
Papaver rhoeas,archaeophyte,Med-IT,naturalised,epoecophyte
Peganum harmala,neophyte,Med-IT,naturalised,epoecophyte
Sonchus arvensis,archaeophyte,Med,naturalised,epoecophyte
Trigonella caerulea,neophyte,Med,casual,ephemerophyte
Tripleurospermum inodorum,archaeophyte,Med-IT,naturalised,epoecophyte
Valerianella locusta,archaeophyte,Med-IT,naturalised,epoecophyte
Dianthus barbatus,neophyte,Eu,casual,ergasiophigophyte
Geranium sibiricum,neophyte,As,naturalised,epoecophyte
Juncus tenuis,neophyte,NA,naturalised,hemiepoecophyte
Onobrychis viciifolia,neophyte,Eu,casual,ephemerophyte
Scorzonera hispanica,neophyte,Eu,casual,ergasiophigophyte
Prunus cerasifera,neophyte,Med-As,naturalised,ergasiophigophyte
Veronica agrestis,archaeophyte,Med,naturalised,epoecophyte
Lepidium ruderale,archaeophyte,IT,naturalised,epoecophyte
